table_name,column_name,data_type
products,id,uuid
products,name,text
products,category,text
products,unit,text
products,mrp,numeric
products,selling_price,numeric
products,stock_qty,numeric
products,low_stock_alert_qty,numeric
products,barcode,text
products,godown_location,text
products,created_at,timestamp with time zone
products,category_id,uuid
products,unit_id,uuid
products,item_type,text
products,purchase_price,numeric
products,discount_percent,numeric
products,description,text
profiles,id,uuid
profiles,role,text
profiles,full_name,text
profiles,created_at,timestamp with time zone
profiles,name,text
profiles,email,text
purchase_invoices,id,uuid
purchase_invoices,bill_no,text
purchase_invoices,date,date
purchase_invoices,due_date,date
purchase_invoices,supplier_id,uuid
purchase_invoices,items,jsonb
purchase_invoices,subtotal,numeric
purchase_invoices,discount,numeric
purchase_invoices,labour_charges,numeric
purchase_invoices,transport_charges,numeric
purchase_invoices,round_off,numeric
purchase_invoices,payment_in_discount,numeric
purchase_invoices,advance_paid,numeric
purchase_invoices,balance_due,numeric
purchase_invoices,payment_mode,text
purchase_invoices,po_number,text
purchase_invoices,eway_bill_number,text
purchase_invoices,vehicle_number,text
purchase_invoices,notes,text
purchase_invoices,created_by,uuid
purchase_invoices,status,text
purchase_invoices,created_at,timestamp with time zone
purchase_orders,id,uuid
purchase_orders,supplier_id,uuid
purchase_orders,items,jsonb
purchase_orders,total,numeric
purchase_orders,status,text
purchase_orders,delivery_date,date
purchase_orders,notes,text
purchase_orders,created_at,timestamp with time zone
purchase_orders,po_number,text
purchase_orders,subtotal,numeric
purchase_orders,discount,numeric
purchase_orders,advance_paid,numeric
purchase_orders,balance_due,numeric
purchase_payments,id,uuid
purchase_payments,purchase_id,uuid
purchase_payments,supplier_id,uuid
purchase_payments,amount,numeric
purchase_payments,payment_mode,text
purchase_payments,date,date
purchase_payments,notes,text
purchase_payments,created_by,uuid
purchase_payments,created_at,timestamp with time zone
quotations,id,uuid
quotations,bill_no,text
quotations,date,date
quotations,customer_id,uuid
quotations,items,jsonb
quotations,subtotal,numeric
quotations,discount,numeric
quotations,labour_charges,numeric
quotations,transport_charges,numeric
quotations,advance_paid,numeric
quotations,balance_due,numeric
quotations,payment_mode,text
quotations,notes,text
quotations,created_by,uuid
quotations,status,text
quotations,converted_to_bill_id,uuid
quotations,created_at,timestamp with time zone
quotations,due_date,date
quotations,po_number,text
quotations,eway_bill_number,text
quotations,vehicle_number,text
quotations,round_off,numeric
quotations,payment_in_discount,numeric
sale_returns,id,uuid
sale_returns,original_bill_id,uuid
sale_returns,return_no,text
sale_returns,return_date,date
sale_returns,items,jsonb
sale_returns,total_return_amount,numeric
sale_returns,reason,text
sale_returns,refund_mode,text
sale_returns,created_by,uuid
sale_returns,created_at,timestamp with time zone
